City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,anjiang,27.3194,110.1031,13.83,85,6,1.09,CN,2023-03-30 18:30:58
251,yaan,7.3833,8.5667,33.56,32,27,1.65,NG,2023-03-30 18:30:59
252,guaruja,-23.9931,-46.2564,29.92,70,40,2.68,BR,2023-03-30 18:30:41
253,nakamura,32.9833,132.9333,11.86,75,100,1.58,JP,2023-03-30 18:30:59
254,ribas do rio pardo,-20.4431,-53.7592,31.04,52,7,0.6,BR,2023-03-30 18:27:20
255,santa maria,-29.6842,-53.8069,27.61,65,75,1.54,BR,2023-03-30 18:28:01
256,cotonou,6.3654,2.4183,28.99,79,20,5.14,BJ,2023-03-30 18:26:31
257,antonina,-25.4286,-48.7119,33.82,1,60,2.06,BR,2023-03-30 18:31:00
258,flensburg,54.7833,9.4333,9.39,89,100,7.72,DE,2023-03-30 18:31:00
259,hamilton,39.1834,-84.5333,14.87,40,0,2.24,US,2023-03-30 18:28:31
260,ntcheu,-14.8203,34.6359,17.56,98,87,1.24,MW,2023-03-30 18:31:02
261,vila franca do campo,37.7167,-25.4333,17.23,96,100,4.03,PT,2023-03-30 18:31:02
262,vardo,70.3705,31.1107,-3.01,100,75,5.66,NO,2023-03-30 18:31:02
263,praya,14.9215,-23.5087,28.3,44,0,5.66,CV,2023-03-30 18:30:53
264,camacupa,-12.0167,17.4833,17.28,92,100,1.67,AO,2023-03-30 18:30:06
265,ilulissat,69.2167,-51.1,-11.99,67,20,2.06,GL,2023-03-30 18:31:03
266,pitimbu,-7.4706,-34.8086,29.33,66,23,5.15,BR,2023-03-30 18:31:03
267,kapchorwa,1.3965,34.4509,17.48,71,100,2.94,UG,2023-03-30 18:31:03
268,sabha,27.0377,14.4283,19.88,23,0,4.88,LY,2023-03-30 18:31:03
269,broome,42.2506,-75.833,3.34,54,75,5.66,US,2023-03-30 18:31:04
270,saint-honore,48.5334,-71.0824,-4.28,54,100,11.32,CA,2023-03-30 18:31:04
271,aripuana,-9.1667,-60.6333,31.64,54,61,0.49,BR,2023-03-30 18:31:04
272,marshalltown,42.0494,-92.908,14.13,53,75,8.23,US,2023-03-30 18:31:04
273,komsomolskiy,40.4272,71.7189,16.4,59,100,4.12,UZ,2023-03-30 18:31:05
274,diffa,13.3154,12.6113,29.69,9,6,3.55,NE,2023-03-30 18:31:05
275,oranjemund,-28.55,16.4333,16.46,80,1,9.3,NA,2023-03-30 18:26:52
276,acapulco,16.8634,-99.8901,29.9,66,75,5.14,MX,2023-03-30 18:31:05
277,nelson bay,-32.7167,152.15,16.67,73,0,4.02,AU,2023-03-30 18:31:05
278,tomohon,1.3346,124.8392,19.52,92,83,0.75,ID,2023-03-30 18:26:43
279,lagoa,39.05,-27.9833,14.91,84,100,6.21,PT,2023-03-30 18:31:06
280,kitimat,54.0524,-128.6534,6.21,69,54,2.01,CA,2023-03-30 18:30:24
281,nhulunbuy,-12.2333,136.7667,27.34,83,40,2.57,AU,2023-03-30 18:31:06
282,flinders,-34.5833,150.8552,15.03,69,0,1.79,AU,2023-03-30 18:31:06
283,grajau,-5.8194,-46.1386,27.54,84,94,1.92,BR,2023-03-30 18:31:07
284,sinnamary,5.3833,-52.95,27.73,70,64,4.68,GF,2023-03-30 18:31:07
285,marfino,55.7028,37.3822,0.95,86,75,4.0,RU,2023-03-30 18:31:07
286,mehamn,71.0357,27.8492,-2.03,100,100,2.06,NO,2023-03-30 18:31:07
287,itapetininga,-23.5917,-48.0531,27.26,64,10,4.37,BR,2023-03-30 18:31:08
288,abalak,58.1286,68.5944,-6.85,83,13,1.28,RU,2023-03-30 18:31:08
289,port blair,11.6667,92.75,27.02,89,40,1.03,IN,2023-03-30 18:31:08
290,mackay,-21.15,149.2,25.38,85,47,3.69,AU,2023-03-30 18:31:09
291,katsuura,35.1333,140.3,14.26,81,100,3.93,JP,2023-03-30 18:31:09
292,anadyr,64.75,177.4833,-15.72,85,40,5.0,RU,2023-03-30 18:31:09
293,kharan,28.5833,65.4167,21.33,43,0,2.51,PK,2023-03-30 18:31:09
